# Admin-default TalentBuild picks — generated by wow:export-default-talents.
# Applied by wow:apply-default-talents — deliberately NOT wired into import:spelldata
# automatically, so an admin actively re-curating a live build via /admin/talent-builds
# does not get silently reverted by an unrelated routine spell-data re-import.
# Re-export after any deliberate build change you want to become the new baseline
# for fresh environments.
#
# Format: class_slug | spec_slug | kind(pve|pvp) | spell_id | rank | name (comment only)
#   - pve rows: rank disambiguates a multi-rank node sharing one spell_id across ranks.
#   - pvp rows: rank is always blank (PvP talents have no rank concept).
# Regenerated wholesale each export — do not hand-edit, re-export instead.

# Death Knight / Blood (exported 2026-08-18)
deathknight | blood | pve | 205727 | 1 | Anti-Magic Barrier
deathknight | frost | pve | 441378 | 1 | Exterminate
deathknight | frost | pve | 377073 | 1 | Frigid Executioner
deathknight | frost | pve | 1265859 | 1 | Frigid Resolve
deathknight | frost | pve | 49143 | 1 | Frost Strike
deathknight | frost | pve | 1238680 | 1 | Frostbound Will
deathknight | frost | pve | 1230301 | 1 | Frostreaper
deathknight | frost | pve | 207230 | 1 | Frostscythe
deathknight | frost | pve | 279302 | 1 | Frostwyrm's Fury
deathknight | frost | pve | 377226 | 1 | Frozen Dominion
deathknight | frost | pve | 194912 | 1 | Gathering Storm
deathknight | frost | pve | 391571 | 2 | Gloom Ward
deathknight | frost | pve | 434905 | 1 | Grim Reaper
deathknight | frost | pve | 273952 | 1 | Grip of the Dead
deathknight | frost | pve | 1230223 | 1 | Howling Blades
deathknight | frost | pve | 49184 | 1 | Howling Blast
deathknight | frost | pve | 456238 | 1 | Hyperpyrexia
deathknight | frost | pve | 454786 | 1 | Ice Prison
deathknight | frost | pve | 48792 | 1 | Icebound Fortitude
deathknight | frost | pve | 392950 | 2 | Icebreaker
deathknight | frost | pve | 1230272 | 1 | Icy Onslaught
deathknight | frost | pve | 194878 | 1 | Icy Talons
deathknight | frost | pve | 374277 | 1 | Improved Death Strike
deathknight | frost | pve | 253593 | 1 | Inexorable Assault
deathknight | frost | pve | 391566 | 1 | Insidious Chill
deathknight | frost | pve | 51128 | 1 | Killing Machine
deathknight | frost | pve | 1230153 | 1 | Killing Streak
deathknight | frost | pve | 47528 | 1 | Mind Freeze
deathknight | frost | pve | 207061 | 1 | Murderous Efficiency
deathknight | frost | pve | 1230284 | 1 | Northwinds
deathknight | frost | pve | 454842 | 1 | Null Magic
deathknight | frost | pve | 49020 | 1 | Obliterate
deathknight | frost | pve | 281238 | 1 | Obliteration
deathknight | frost | pve | 454835 | 1 | Osmosis
deathknight | frost | pve | 207200 | 1 | Permafrost
deathknight | frost | pve | 51271 | 1 | Pillar of Frost
deathknight | frost | pve | 373930 | 1 | Proliferating Chill
deathknight | frost | pve | 377076 | 1 | Rage of the Frozen Champion
deathknight | frost | pve | 46585 | 1 | Raise Dead
deathknight | frost | pve | 439843 | 1 | Reaper's Mark
deathknight | frost | pve | 440282 | 1 | Rune Carved Plates
deathknight | frost | pve | 374574 | 2 | Rune Mastery
deathknight | frost | pve | 207104 | 1 | Runic Attenuation
deathknight | frost | pve | 376251 | 2 | Runic Command
deathknight | frost | pve | 316803 | 2 | Runic Overflow
deathknight | frost | pve | 454788 | 1 | Runic Protection
deathknight | frost | pve | 207057 | 1 | Shattering Blade
deathknight | frost | pve | 435005 | 1 | Smothering Offense
deathknight | frost | pve | 437161 | 1 | Soul Rupture
deathknight | frost | pve | 454822 | 1 | Subduing Grasp
deathknight | frost | pve | 374049 | 1 | Suppression
deathknight | frost | pve | 443560 | 1 | Swift and Painful
deathknight | frost | pve | 374261 | 1 | Unholy Bond
deathknight | frost | pve | 389682 | 1 | Unholy Endurance
deathknight | frost | pve | 374265 | 2 | Unholy Momentum
deathknight | frost | pve | 457574 | 1 | Unyielding Will
deathknight | frost | pve | 454851 | 1 | Vestigial Shell
deathknight | frost | pve | 48263 | 1 | Veteran of the Third War
deathknight | frost | pve | 439851 | 1 | Wave of Souls
deathknight | frost | pve | 206967 | 2 | Will of the Necropolis
deathknight | frost | pve | 441894 | 1 | Wither Away
deathknight | frost | pve | 212552 | 1 | Wraith Walk
deathknight | frost | pvp | 410301 | | Bloodforged Armor
deathknight | frost | pvp | 233396 | | Delirium
deathknight | frost | pvp | 410320 | | Spellwarden
deathknight | frost | pvp | 47476 | | Strangulate

# Death Knight / Unholy (exported 2026-08-18)
deathknight | unholy | pve | 444072 | 1 | A Feast of Souls
deathknight | unholy | pve | 194916 | 1 | All Will Serve
deathknight | unholy | pve | 205727 | 1 | Anti-Magic Barrier
deathknight | unholy | pve | 51052 | 1 | Anti-Magic Zone
deathknight | unholy | pve | 444040 | 1 | Apocalypse Now
deathknight | unholy | pve | 42650 | 1 | Army of the Dead
deathknight | unholy | pve | 221562 | 1 | Asphyxiate
deathknight | unholy | pve | 374383 | 1 | Assimilation
deathknight | unholy | pve | 1254552 | 1 | Blightburst
deathknight | unholy | pve | 207167 | 1 | Blinding Sleet
deathknight | unholy | pve | 1267028 | 1 | Blood Bond
deathknight | unholy | pve | 374598 | 1 | Blood Draw
deathknight | unholy | pve | 374030 | 1 | Blood Scent
deathknight | unholy | pve | 374504 | 1 | Brittle
deathknight | unholy | pve | 1241567 | 1 | Clawing Shadows
deathknight | unholy | pve | 316916 | 1 | Cleaving Strikes
deathknight | unholy | pve | 390270 | 1 | Coil of Devastation
deathknight | unholy | pve | 378848 | 1 | Coldthirst
deathknight | unholy | pve | 390259 | 2 | Commander of the Dead
deathknight | unholy | pve | 1290864 | 1 | Cycle of Death
deathknight | unholy | pve | 1233448 | 1 | Dark Transformation
deathknight | unholy | pve | 444010 | 1 | Death Charge
deathknight | unholy | pve | 1266818 | 1 | Death Defiance
deathknight | unholy | pve | 48743 | 1 | Death Pact
deathknight | unholy | pve | 49998 | 1 | Death Strike
deathknight | unholy | pve | 356367 | 1 | Death's Echo
deathknight | unholy | pve | 455386 | 1 | Doomed Bidding
deathknight | unholy | pve | 207269 | 1 | Ebon Fever
deathknight | unholy | pve | 392566 | 1 | Enfeeble
deathknight | unholy | pve | 455397 | 1 | Festering Scythe
deathknight | unholy | pve | 1242158 | 1 | Forbidden Knowledge
deathknight | unholy | pve | 455396 | 1 | Foul Infections
deathknight | unholy | pve | 377587 | 1 | Ghoulish Frenzy
deathknight | unholy | pve | 391571 | 2 | Gloom Ward
deathknight | unholy | pve | 273952 | 1 | Grip of the Dead
deathknight | unholy | pve | 276023 | 1 | Harbinger of Doom
deathknight | unholy | pve | 444037 | 1 | Hungering Thirst
deathknight | unholy | pve | 48792 | 1 | Icebound Fortitude
deathknight | unholy | pve | 194878 | 1 | Icy Talons
deathknight | unholy | pve | 374277 | 1 | Improved Death Strike
deathknight | unholy | pve | 207272 | 1 | Infected Claws
deathknight | unholy | pve | 391566 | 1 | Insidious Chill
deathknight | unholy | pve | 1265949 | 1 | Let Terror Reign
deathknight | unholy | pve | 1256813 | 1 | Lord of the Dead
deathknight | unholy | pve | 390196 | 1 | Magus of the Dead
deathknight | unholy | pve | 444099 | 1 | Mawsworn Menace
deathknight | unholy | pve | 47528 | 1 | Mind Freeze
deathknight | unholy | pve | 444047 | 1 | Mograine's Might
deathknight | unholy | pve | 377592 | 1 | Morbidity
deathknight | unholy | pve | 444052 | 1 | Nazgrim's Conquest
deathknight | unholy | pve | 288848 | 1 | Necromancer's Cunning
deathknight | unholy | pve | 454842 | 1 | Null Magic
deathknight | unholy | pve | 454835 | 1 | Osmosis
deathknight | unholy | pve | 77575 | 1 | Outbreak
deathknight | unholy | pve | 1241705 | 1 | Outnumber
deathknight | unholy | pve | 444083 | 1 | Pact of the Apocalypse
deathknight | unholy | pve | 373930 | 1 | Proliferating Chill
deathknight | unholy | pve | 1247378 | 1 | Putrefy
deathknight | unholy | pve | 377580 | 1 | Putrid Echoes
deathknight | unholy | pve | 1242608 | 1 | Raise Abomination
deathknight | unholy | pve | 46585 | 1 | Raise Dead
deathknight | unholy | pve | 377514 | 1 | Reaping
deathknight | unholy | pve | 1265959 | 1 | Ride or Die!
deathknight | unholy | pve | 444005 | 1 | Rider's Champion
deathknight | unholy | pve | 374574 | 2 | Rune Mastery
deathknight | unholy | pve | 207104 | 1 | Runic Attenuation
deathknight | unholy | pve | 454788 | 1 | Runic Protection
deathknight | unholy | pve | 55090 | 1 | Scourge Strike
deathknight | unholy | pve | 343294 | 1 | Soul Reaper
deathknight | unholy | pve | 49530 | 1 | Sudden Doom
deathknight | unholy | pve | 390283 | 1 | Superstrain
deathknight | unholy | pve | 374049 | 1 | Suppression
deathknight | unholy | pve | 444097 | 1 | Trollbane's Icy Fury
deathknight | unholy | pve | 1265971 | 1 | Unholy Armaments
deathknight | unholy | pve | 377440 | 2 | Unholy Aura
deathknight | unholy | pve | 374261 | 1 | Unholy Bond
deathknight | unholy | pve | 1241858 | 1 | Unholy Devotion
deathknight | unholy | pve | 389682 | 1 | Unholy Endurance
deathknight | unholy | pve | 374265 | 2 | Unholy Momentum
deathknight | unholy | pve | 454851 | 1 | Vestigial Shell
deathknight | unholy | pve | 48263 | 1 | Veteran of the Third War
deathknight | unholy | pve | 444033 | 1 | Whitemane's Famine
deathknight | unholy | pve | 206967 | 2 | Will of the Necropolis
deathknight | unholy | pve | 212552 | 1 | Wraith Walk
deathknight | unholy | pvp | 410301 | | Bloodforged Armor
deathknight | unholy | pvp | 356520 | | Necrotic Wounds
deathknight | unholy | pvp | 410320 | | Spellwarden
deathknight | unholy | pvp | 47476 | | Strangulate

# Demon Hunter / Devourer (exported 2026-08-18)
demonhunter | devourer | pve | 207347 | 1 | Aura of Pain
demonhunter | devourer | pve | 320416 | 1 | Blazing Path
demonhunter | devourer | pve | 320386 | 1 | Bouncing Glaives
demonhunter | devourer | pve | 1242495 | 1 | Calamitous
demonhunter | devourer | pve | 1221167 | 1 | Collapsing Star
demonhunter | devourer | pve | 278326 | 1 | Consume Magic
demonhunter | devourer | pve | 196718 | 1 | Darkness
demonhunter | devourer | pve | 1266329 | 1 | Demon Muzzle
demonhunter | devourer | pve | 1247538 | 2 | Demonic Instinct
demonhunter | devourer | pve | 1266307 | 1 | Demonic Resilience
demonhunter | devourer | pve | 1240201 | 1 | Devourer's Bite
demonhunter | devourer | pve | 1244222 | 2 | Devourer's Edge
demonhunter | devourer | pve | 183782 | 1 | Disrupting Fury
demonhunter | devourer | pve | 1246562 | 1 | Duty Eternal
demonhunter | devourer | pve | 1261684 | 1 | Entropy
demonhunter | devourer | pve | 1226033 | 1 | Eradicate
demonhunter | devourer | pve | 391397 | 2 | Erratic Felheart
demonhunter | devourer | pve | 1237270 | 1 | Feast of Souls
demonhunter | devourer | pve | 389846 | 1 | Felfire Haste
demonhunter | devourer | pve | 1266500 | 1 | Final Breath
demonhunter | devourer | pve | 1266497 | 1 | First In, Last Out
demonhunter | devourer | pve | 1266296 | 1 | Focused Ire
demonhunter | devourer | pve | 1240203 | 1 | Focused Ray
demonhunter | devourer | pve | 1266326 | 1 | Furious
demonhunter | devourer | pve | 1272847 | 1 | Gift of the Void
demonhunter | devourer | pve | 1223171 | 1 | Guile
demonhunter | devourer | pve | 1239519 | 1 | Hungering Slash
demonhunter | devourer | pve | 389696 | 2 | Illidari Knowledge
demonhunter | devourer | pve | 1227707 | 1 | Impending Apocalypse
demonhunter | devourer | pve | 217832 | 1 | Imprison
demonhunter | devourer | pve | 1272817 | 1 | Improved Consume
demonhunter | devourer | pve | 320361 | 1 | Improved Disrupt
demonhunter | devourer | pve | 320331 | 2 | Infernal Armor
demonhunter | devourer | pve | 393822 | 1 | Internal Struggle
demonhunter | devourer | pve | 389849 | 1 | Lost in Darkness
demonhunter | devourer | pve | 389763 | 1 | Master of the Glaive
demonhunter | devourer | pve | 1242486 | 1 | Midnight
demonhunter | devourer | pve | 1238488 | 1 | Moment of Craving
demonhunter | devourer | pve | 389783 | 1 | Pitch Black
demonhunter | devourer | pve | 1215617 | 1 | Predator's Thirst
demonhunter | devourer | pve | 320654 | 1 | Pursuit
demonhunter | devourer | pve | 1266328 | 1 | Remorseless
demonhunter | devourer | pve | 1244237 | 1 | Rolling Torment
demonhunter | devourer | pve | 1239537 | 1 | Second Helping
demonhunter | devourer | pve | 389824 | 1 | Shattered Restoration
demonhunter | devourer | pve | 207684 | 1 | Sigil of Misery
demonhunter | devourer | pve | 1272832 | 1 | Singed Spirit
demonhunter | devourer | pve | 1272770 | 1 | Singular Strikes
demonhunter | devourer | pve | 1266496 | 1 | Soul Cleanse
demonhunter | devourer | pve | 1247534 | 1 | Soul Glutton
demonhunter | devourer | pve | 1241937 | 1 | Soul Immolation
demonhunter | devourer | pve | 204909 | 2 | Soul Rending
demonhunter | devourer | pve | 1266330 | 2 | Soul Splitter
demonhunter | devourer | pve | 1272432 | 1 | Soulforged Blades
demonhunter | devourer | pve | 1238739 | 1 | Soulshaper
demonhunter | devourer | pve | 1240204 | 1 | Star Fragments
demonhunter | devourer | pve | 320313 | 1 | Swallowed Anger
demonhunter | devourer | pve | 1242768 | 2 | Sweet Release
demonhunter | devourer | pve | 1244295 | 2 | Sweet Suffering
demonhunter | devourer | pve | 1246555 | 1 | Tempered Soul
demonhunter | devourer | pve | 1246167 | 1 | The Hunt
demonhunter | devourer | pve | 1272842 | 1 | Umbral Blade
demonhunter | devourer | pve | 320770 | 1 | Unrestrained Fury
demonhunter | devourer | pve | 320635 | 1 | Vengeful Bonds
demonhunter | devourer | pve | 198793 | 1 | Vengeful Retreat
demonhunter | devourer | pve | 471306 | 1 | Void Metamorphosis
demonhunter | devourer | pve | 1234195 | 1 | Void Nova
demonhunter | devourer | pve | 473728 | 1 | Void Ray
demonhunter | devourer | pve | 1245412 | 1 | Voidblade
demonhunter | devourer | pve | 1240202 | 1 | Voidglare Boon
demonhunter | devourer | pve | 1244220 | 1 | Voidpurge
demonhunter | devourer | pve | 1242956 | 2 | Voidrage
demonhunter | devourer | pve | 1272422 | 1 | Voidrush
demonhunter | devourer | pve | 1223918 | 1 | Waste Not
demonhunter | devourer | pve | 389695 | 2 | Will of the Illidari
demonhunter | devourer | pvp | 1261697 | | Beckon
demonhunter | devourer | pvp | 354489 | | Glimpse
demonhunter | devourer | pvp | 205604 | | Reverse Magic
demonhunter | devourer | pvp | 1261423 | | Surrender to the Void

# Demon Hunter / Havoc (exported 2026-08-18)
demonhunter | havoc | pve | 427775 | 1 | A Fire Inside
demonhunter | havoc | pve | 391275 | 1 | Accelerated Blade
demonhunter | havoc | pve | 442683 | 1 | Aldrachi Tactics
demonhunter | havoc | pve | 442714 | 1 | Army Unto Oneself
demonhunter | havoc | pve | 442290 | 1 | Art of the Glaive
demonhunter | havoc | pve | 207347 | 1 | Aura of Pain
demonhunter | havoc | pve | 1272153 | 1 | Bladecraft
demonhunter | havoc | pve | 320416 | 1 | Blazing Path
demonhunter | havoc | pve | 203550 | 2 | Blind Fury
demonhunter | havoc | pve | 320386 | 1 | Bouncing Glaives
demonhunter | havoc | pve | 1272143 | 1 | Broken Spirit
demonhunter | havoc | pve | 320374 | 1 | Burning Hatred
demonhunter | havoc | pve | 391189 | 1 | Burning Wound
demonhunter | havoc | pve | 179057 | 1 | Chaos Nova
demonhunter | havoc | pve | 428492 | 2 | Chaotic Disposition
demonhunter | havoc | pve | 388112 | 1 | Chaotic Transformation
demonhunter | havoc | pve | 278326 | 1 | Consume Magic
demonhunter | havoc | pve | 320413 | 1 | Critical Chaos
demonhunter | havoc | pve | 258887 | 1 | Cycle of Hatred
demonhunter | havoc | pve | 389978 | 2 | Dancing with Fate
demonhunter | havoc | pve | 196718 | 1 | Darkness
demonhunter | havoc | pve | 428241 | 1 | Demon Hide
demonhunter | havoc | pve | 1266329 | 1 | Demon Muzzle
demonhunter | havoc | pve | 213410 | 1 | Demonic
demonhunter | havoc | pve | 1266307 | 1 | Demonic Resilience
demonhunter | havoc | pve | 205411 | 1 | Desperate Instincts
demonhunter | havoc | pve | 183782 | 1 | Disrupting Fury
demonhunter | havoc | pve | 391397 | 2 | Erratic Felheart
demonhunter | havoc | pve | 1270898 | 1 | Eternal Hunt
demonhunter | havoc | pve | 206476 | 1 | Exergy
demonhunter | havoc | pve | 198013 | 1 | Eye Beam
demonhunter | havoc | pve | 232893 | 1 | Felblade
demonhunter | havoc | pve | 1266762 | 1 | Felbound
demonhunter | havoc | pve | 1266762 | 1 | Felbound
demonhunter | havoc | pve | 389846 | 1 | Felfire Haste
demonhunter | havoc | pve | 1266500 | 1 | Final Breath
demonhunter | havoc | pve | 206416 | 1 | First Blood
demonhunter | havoc | pve | 1266497 | 1 | First In, Last Out
demonhunter | havoc | pve | 1266296 | 1 | Focused Ire
demonhunter | havoc | pve | 1266326 | 1 | Furious
demonhunter | havoc | pve | 343311 | 1 | Furious Gaze
demonhunter | havoc | pve | 393029 | 1 | Furious Throws
demonhunter | havoc | pve | 442718 | 1 | Fury of the Aldrachi
demonhunter | havoc | pve | 390158 | 1 | Growing Inferno
demonhunter | havoc | pve | 389696 | 2 | Illidari Knowledge
demonhunter | havoc | pve | 217832 | 1 | Imprison
demonhunter | havoc | pve | 343206 | 1 | Improved Chaos Strike
demonhunter | havoc | pve | 320361 | 1 | Improved Disrupt
demonhunter | havoc | pve | 320418 | 1 | Improved Sigil of Misery
demonhunter | havoc | pve | 442492 | 1 | Incisive Blade
demonhunter | havoc | pve | 320331 | 2 | Infernal Armor
demonhunter | havoc | pve | 388108 | 1 | Initiative
demonhunter | havoc | pve | 393822 | 1 | Internal Struggle
demonhunter | havoc | pve | 388113 | 1 | Isolated Prey
demonhunter | havoc | pve | 1272138 | 1 | Keen Edge
demonhunter | havoc | pve | 442497 | 1 | Keen Engagement
demonhunter | havoc | pve | 389763 | 1 | Master of the Glaive
demonhunter | havoc | pve | 328725 | 1 | Mortal Dance
demonhunter | havoc | pve | 389783 | 1 | Pitch Black
demonhunter | havoc | pve | 320654 | 1 | Pursuit
demonhunter | havoc | pve | 442679 | 1 | Reaver's Mark
demonhunter | havoc | pve | 1266328 | 1 | Remorseless
demonhunter | havoc | pve | 428232 | 1 | Scars of Suffering
demonhunter | havoc | pve | 1220506 | 1 | Screaming Brutality
demonhunter | havoc | pve | 390154 | 1 | Serrated Glaive
demonhunter | havoc | pve | 388116 | 1 | Shattered Destiny
demonhunter | havoc | pve | 389824 | 1 | Shattered Restoration
demonhunter | havoc | pve | 207684 | 1 | Sigil of Misery
demonhunter | havoc | pve | 1266496 | 1 | Soul Cleanse
demonhunter | havoc | pve | 204909 | 2 | Soul Rending
demonhunter | havoc | pve | 1266330 | 2 | Soul Splitter
demonhunter | havoc | pve | 388106 | 1 | Soulscar
demonhunter | havoc | pve | 320313 | 1 | Swallowed Anger
demonhunter | havoc | pve | 389688 | 1 | Tactical Retreat
demonhunter | havoc | pve | 370965 | 1 | The Hunt
demonhunter | havoc | pve | 442686 | 1 | Thrill of the Fight
demonhunter | havoc | pve | 258881 | 1 | Trail of Ruin
demonhunter | havoc | pve | 347461 | 1 | Unbound Chaos
demonhunter | havoc | pve | 444931 | 1 | Unhindered Assault
demonhunter | havoc | pve | 320770 | 1 | Unrestrained Fury
demonhunter | havoc | pve | 320635 | 1 | Vengeful Bonds
demonhunter | havoc | pve | 198793 | 1 | Vengeful Retreat
demonhunter | havoc | pve | 442502 | 1 | Warblade's Hunger
demonhunter | havoc | pve | 389695 | 2 | Will of the Illidari
demonhunter | havoc | pve | 442806 | 1 | Wounded Quarry
demonhunter | havoc | pvp | 355995 | | Blood Moon
demonhunter | havoc | pvp | 205596 | | Detainment
demonhunter | havoc | pvp | 354489 | | Glimpse
demonhunter | havoc | pvp | 205604 | | Reverse Magic

# Demon Hunter / Vengeance (exported 2026-08-18)
demonhunter | vengeance | pve | 207548 | 1 | Agonizing Flames
demonhunter | vengeance | pve | 391409 | 1 | Aldrachi Design
demonhunter | vengeance | pve | 442683 | 1 | Aldrachi Tactics
demonhunter | vengeance | pve | 442290 | 1 | Art of the Glaive
demonhunter | vengeance | pve | 428603 | 1 | Ascending Flame
demonhunter | vengeance | pve | 207347 | 1 | Aura of Pain
demonhunter | vengeance | pve | 1272153 | 1 | Bladecraft
demonhunter | vengeance | pve | 320416 | 1 | Blazing Path
